[信息] 2022-09-27 13:34:52.763 thread:[017] 链接成功
[信息] 2022-09-27 13:34:53.760 thread:[001] 初始化完成
[错误] 2022-09-27 13:34:54.789 thread:[015] Omron.PMAC.CK3M初始化失败: : 未能加载文件或程序集“Renci.SshNet, Version=2016.0.0.0, Culture=neutral, PublicKeyToken=1cee9f8bde3db106”或它的某一个依赖项。系统找不到指定的文件。
[错误] 2022-09-27 13:49:41.589 thread:[005] Omron.PMAC.CK3M初始化失败: : 未能加载文件或程序集“Renci.SshNet, Version=2016.0.0.0, Culture=neutral, PublicKeyToken=1cee9f8bde3db106”或它的某一个依赖项。系统找不到指定的文件。
[错误] 2022-09-27 13:49:44.609 thread:[005] Omron.PMAC.CK3M初始化失败: : 未能加载文件或程序集“Renci.SshNet, Version=2016.0.0.0, Culture=neutral, PublicKeyToken=1cee9f8bde3db106”或它的某一个依赖项。系统找不到指定的文件。
[错误] 2022-09-27 13:49:47.623 thread:[005] Omron.PMAC.CK3M初始化失败: : 未能加载文件或程序集“Renci.SshNet, Version=2016.0.0.0, Culture=neutral, PublicKeyToken=1cee9f8bde3db106”或它的某一个依赖项。系统找不到指定的文件。
[错误] 2022-09-27 13:49:50.641 thread:[005] Omron.PMAC.CK3M初始化失败: : 未能加载文件或程序集“Renci.SshNet, Version=2016.0.0.0, Culture=neutral, PublicKeyToken=1cee9f8bde3db106”或它的某一个依赖项。系统找不到指定的文件。
[错误] 2022-09-27 13:49:53.675 thread:[005] Omron.PMAC.CK3M初始化失败: : 未能加载文件或程序集“Renci.SshNet, Version=2016.0.0.0, Culture=neutral, PublicKeyToken=1cee9f8bde3db106”或它的某一个依赖项。系统找不到指定的文件。
[错误] 2022-09-27 13:49:56.688 thread:[005] Omron.PMAC.CK3M初始化失败: : 未能加载文件或程序集“Renci.SshNet, Version=2016.0.0.0, Culture=neutral, PublicKeyToken=1cee9f8bde3db106”或它的某一个依赖项。系统找不到指定的文件。
[错误] 2022-09-27 13:49:59.721 thread:[005] Omron.PMAC.CK3M初始化失败: : 未能加载文件或程序集“Renci.SshNet, Version=2016.0.0.0, Culture=neutral, PublicKeyToken=1cee9f8bde3db106”或它的某一个依赖项。系统找不到指定的文件。
[错误] 2022-09-27 13:50:02.746 thread:[005] Omron.PMAC.CK3M初始化失败: : 未能加载文件或程序集“Renci.SshNet, Version=2016.0.0.0, Culture=neutral, PublicKeyToken=1cee9f8bde3db106”或它的某一个依赖项。系统找不到指定的文件。
[错误] 2022-09-27 13:50:05.776 thread:[005] Omron.PMAC.CK3M初始化失败: : 未能加载文件或程序集“Renci.SshNet, Version=2016.0.0.0, Culture=neutral, PublicKeyToken=1cee9f8bde3db106”或它的某一个依赖项。系统找不到指定的文件。
[错误] 2022-09-27 13:50:08.792 thread:[005] Omron.PMAC.CK3M初始化失败: : 未能加载文件或程序集“Renci.SshNet, Version=2016.0.0.0, Culture=neutral, PublicKeyToken=1cee9f8bde3db106”或它的某一个依赖项。系统找不到指定的文件。
[错误] 2022-09-27 13:50:11.813 thread:[005] Omron.PMAC.CK3M初始化失败: : 未能加载文件或程序集“Renci.SshNet, Version=2016.0.0.0, Culture=neutral, PublicKeyToken=1cee9f8bde3db106”或它的某一个依赖项。系统找不到指定的文件。
[错误] 2022-09-27 13:50:14.825 thread:[005] Omron.PMAC.CK3M初始化失败: : 未能加载文件或程序集“Renci.SshNet, Version=2016.0.0.0, Culture=neutral, PublicKeyToken=1cee9f8bde3db106”或它的某一个依赖项。系统找不到指定的文件。
[错误] 2022-09-27 13:50:17.854 thread:[005] Omron.PMAC.CK3M初始化失败: : 未能加载文件或程序集“Renci.SshNet, Version=2016.0.0.0, Culture=neutral, PublicKeyToken=1cee9f8bde3db106”或它的某一个依赖项。系统找不到指定的文件。
[错误] 2022-09-27 13:50:20.875 thread:[005] Omron.PMAC.CK3M初始化失败: : 未能加载文件或程序集“Renci.SshNet, Version=2016.0.0.0, Culture=neutral, PublicKeyToken=1cee9f8bde3db106”或它的某一个依赖项。系统找不到指定的文件。
[错误] 2022-09-27 13:50:23.886 thread:[005] Omron.PMAC.CK3M初始化失败: : 未能加载文件或程序集“Renci.SshNet, Version=2016.0.0.0, Culture=neutral, PublicKeyToken=1cee9f8bde3db106”或它的某一个依赖项。系统找不到指定的文件。
[错误] 2022-09-27 13:50:26.908 thread:[005] Omron.PMAC.CK3M初始化失败: : 未能加载文件或程序集“Renci.SshNet, Version=2016.0.0.0, Culture=neutral, PublicKeyToken=1cee9f8bde3db106”或它的某一个依赖项。系统找不到指定的文件。
[错误] 2022-09-27 13:50:29.933 thread:[005] Omron.PMAC.CK3M初始化失败: : 未能加载文件或程序集“Renci.SshNet, Version=2016.0.0.0, Culture=neutral, PublicKeyToken=1cee9f8bde3db106”或它的某一个依赖项。系统找不到指定的文件。
[错误] 2022-09-27 13:50:32.957 thread:[005] Omron.PMAC.CK3M初始化失败: : 未能加载文件或程序集“Renci.SshNet, Version=2016.0.0.0, Culture=neutral, PublicKeyToken=1cee9f8bde3db106”或它的某一个依赖项。系统找不到指定的文件。
[错误] 2022-09-27 13:50:35.991 thread:[005] Omron.PMAC.CK3M初始化失败: : 未能加载文件或程序集“Renci.SshNet, Version=2016.0.0.0, Culture=neutral, PublicKeyToken=1cee9f8bde3db106”或它的某一个依赖项。系统找不到指定的文件。
[错误] 2022-09-27 13:50:39.003 thread:[005] Omron.PMAC.CK3M初始化失败: : 未能加载文件或程序集“Renci.SshNet, Version=2016.0.0.0, Culture=neutral, PublicKeyToken=1cee9f8bde3db106”或它的某一个依赖项。系统找不到指定的文件。
[错误] 2022-09-27 13:50:42.028 thread:[005] Omron.PMAC.CK3M初始化失败: : 未能加载文件或程序集“Renci.SshNet, Version=2016.0.0.0, Culture=neutral, PublicKeyToken=1cee9f8bde3db106”或它的某一个依赖项。系统找不到指定的文件。
[错误] 2022-09-27 13:50:45.055 thread:[005] Omron.PMAC.CK3M初始化失败: : 未能加载文件或程序集“Renci.SshNet, Version=2016.0.0.0, Culture=neutral, PublicKeyToken=1cee9f8bde3db106”或它的某一个依赖项。系统找不到指定的文件。
[错误] 2022-09-27 13:50:48.077 thread:[005] Omron.PMAC.CK3M初始化失败: : 未能加载文件或程序集“Renci.SshNet, Version=2016.0.0.0, Culture=neutral, PublicKeyToken=1cee9f8bde3db106”或它的某一个依赖项。系统找不到指定的文件。
[错误] 2022-09-27 13:50:51.102 thread:[005] Omron.PMAC.CK3M初始化失败: : 未能加载文件或程序集“Renci.SshNet, Version=2016.0.0.0, Culture=neutral, PublicKeyToken=1cee9f8bde3db106”或它的某一个依赖项。系统找不到指定的文件。
[错误] 2022-09-27 13:50:54.114 thread:[005] Omron.PMAC.CK3M初始化失败: : 未能加载文件或程序集“Renci.SshNet, Version=2016.0.0.0, Culture=neutral, PublicKeyToken=1cee9f8bde3db106”或它的某一个依赖项。系统找不到指定的文件。
[信息] 2022-09-27 13:50:55.083 thread:[001] 软件关闭。
[信息] 2022-09-27 13:58:38.416 thread:[012] 链接成功
[信息] 2022-09-27 13:58:38.417 thread:[012] 127.0.0.1:9600:Tcp接入
[信息] 2022-09-27 13:58:39.414 thread:[001] 初始化完成
[错误] 2022-09-27 13:58:40.474 thread:[006] Omron.PMAC.CK3M初始化失败: : 未能加载文件或程序集“Renci.SshNet, Version=2016.0.0.0, Culture=neutral, PublicKeyToken=1cee9f8bde3db106”或它的某一个依赖项。系统找不到指定的文件。
[信息] 2022-09-27 13:58:43.446 thread:[012] 127.0.0.1:9600:由于连接方在一段时间后没有正确答复或连接的主机没有反应，连接尝试失败。
[错误] 2022-09-27 13:58:43.495 thread:[006] Omron.PMAC.CK3M初始化失败: : 未能加载文件或程序集“Renci.SshNet, Version=2016.0.0.0, Culture=neutral, PublicKeyToken=1cee9f8bde3db106”或它的某一个依赖项。系统找不到指定的文件。
[错误] 2022-09-27 13:58:46.506 thread:[006] Omron.PMAC.CK3M初始化失败: : 未能加载文件或程序集“Renci.SshNet, Version=2016.0.0.0, Culture=neutral, PublicKeyToken=1cee9f8bde3db106”或它的某一个依赖项。系统找不到指定的文件。
[错误] 2022-09-27 13:58:49.522 thread:[006] Omron.PMAC.CK3M初始化失败: : 未能加载文件或程序集“Renci.SshNet, Version=2016.0.0.0, Culture=neutral, PublicKeyToken=1cee9f8bde3db106”或它的某一个依赖项。系统找不到指定的文件。
[错误] 2022-09-27 13:58:52.558 thread:[006] Omron.PMAC.CK3M初始化失败: : 未能加载文件或程序集“Renci.SshNet, Version=2016.0.0.0, Culture=neutral, PublicKeyToken=1cee9f8bde3db106”或它的某一个依赖项。系统找不到指定的文件。
[错误] 2022-09-27 13:58:55.571 thread:[006] Omron.PMAC.CK3M初始化失败: : 未能加载文件或程序集“Renci.SshNet, Version=2016.0.0.0, Culture=neutral, PublicKeyToken=1cee9f8bde3db106”或它的某一个依赖项。系统找不到指定的文件。
[错误] 2022-09-27 13:58:58.589 thread:[006] Omron.PMAC.CK3M初始化失败: : 未能加载文件或程序集“Renci.SshNet, Version=2016.0.0.0, Culture=neutral, PublicKeyToken=1cee9f8bde3db106”或它的某一个依赖项。系统找不到指定的文件。
[信息] 2022-09-27 13:58:58.884 thread:[001] 软件关闭。
